"address";"address"
"Av. Dr. Sylvio de Campos";3
"Av. do Jangadeiro";3
"R. Major Dantas Cortez";3
"Av. dos Autonomistas";3
"R. Valença do Minho";3
"R. Conceição de Monte Alegre";3
"Av. dos Semaneiros";3
"R. Eulálio da Costa Carvalho";3
"R. dos Melros";3
"R. Eusébio de Paula Marcondes";3
"Av. Ângelo Cristianini";3
"R. Agissê";3
"R. Basílio da Gama";3
"R. Ushikichi Kamiya";3
"R. Manuel Guilherme dos Reis";3
"R. Nove de Julho";3
"R. José Barros Magaldi";3
"R. Lúcio de Arruda Leme";3
"Largo Páteo do Colégio";3
"Viaduto Dona Paulina";3
"Vila Nova Conceição";3
"R. Gibraltar";3
"R. Roberto Correia";3
"R. Serafim Poli";3
"R. Barra do Jequitaí";3
"Av. Antártica";3
"Av. Guilherme Cotching";3
"Av. Prof.  Mario Mazagão";3
"R. Caramuru";3
"Av. Gen. Mac Arthur";3
"R. Mariz e Barros";3
"Av. Diogo José Machado";3
"Av. Marginal Tietê Central";3
"R. das Dálias";3
"R. das Aroeiras";3
"Av. Miruna";3
"Av. Monteiro Lobato";3
"R. da Paz";3
"R. Ponta de Lucena";3
"R. Jequirituba";3
"Av. Conselheiro Carrão";3
"R. Colômbia";3
"R. Carneiro da Cunha";3
"R. Praia do Valente";3
"R. Carambola";3
"Av. Gabriela Mistral";3
"Av. Condessa Elizabeth de Robiano";3
"Av. Nova Conquista";3
"R. Inhambu";3
"R. Capote Valente";3
"R. Paranápolis";3
"Av. Osvaldo Pucci";3
"Av. Otávio Braga de Mesquita";3
"Av. Padre Antônio José dos Santos";3
"R. Monsenhor Andrade";3
"R. Piauí";3
"Av. Líder";3
"R. Yoshimara Minamoto";3
"R. Itapirapuã";3
"Av. Higienópolis";3
"R. Paula Sousa";3
"Av. Dr. Francisco Ranieri";3
"Av. Dr. Guilherme Dumont Vilares";3
"R. José de Magalhães";3
"Av. Dr. Enéas de Carvalho Aguiar";3
"R. dos Brilhantes";3
"R. Minas Gerais";3
"Av. Itaberaba";3
"R. Itaquera";3
"R. dos Franceses";3
"Av. Iv Centenário";3
"R. Jarauára";3
"Av. Divino Salvador";3
"R. Jardim Tamôio";3
"R. Melo Peixoto";3
"R. Álvaro do Vale";3
"Av. João Paulo I";3
"R. Cayowaá";3
"R. João Cordeiro";3
"R. Pedro Álvares Cabral";3
"R. Catulo da Paixão Cearense";3
"Av. Leonil Crê Bortolosso";3
"Av. Leôncio de Magalhães";3
"Av. Diógenes Ribeiro de Lima";3
"Av. Getúlio Vargas";3
"R. Jerônimo Dias Ribeiro";3
"Av. São Gualter";3
"R. Campêlo";3
"Av. Pres. Tancredo Neves";3
"R. Paraná";3
"R. João Mendes de Almeida Neto";3
"R. Prof. Carlos de Carvalho";3
"R. Cármine Monetti";3
"Tv. Estr. da Vida";3
"Av. Pres. Kenedy";3
"R. Ilíria";3
"R. Miguel Sutil";3
"R. Comendador Antunes dos Santos";3
"R. Pedro Vicente";2
"R. Paim";2
"R. Saturnino de Meireles";2
"R. Conselheiro Carrão";2
"R. Curuçá";2
"R. Dr. Penaforte Mendes";2
"R. Martiniano de Carvalho";2
"R. Apeninos";2
"R. Francisco Caminhoa";2
"R. Francisco Araújo Correa";2
"R. Santos Ferreira de Freitas";2
"R. Caçapava";2
"R. Padre José Griecco";2
"R. Nilton Machado de Barros";2
"R. Cel.  Artur Godói";2
"R. Apacê";2
"R. Francisca Miquelina";2
"R. Magnólia Delfim da Silva";2
"R. Antônio de Pádua Dias";2
"R. Antônio de Abreu";2
