"cd_linha";"min";"max";"mean";"var";"std";"count";"count_nonzero";"nonzero_percentage";"filename";"dateTime"
33632;0;51;11.445255474452555;172.51436501688045;13.134472392025515;548;344;37.22627737226277;"201708161900_201708162000";"2017-08-07 20:52:00"
33633;0;55;7.7025495750708215;160.3004764357456;12.66098244354464;353;178;49.57507082152974;"201708161900_201708162000";"2017-08-07 20:52:00"
33635;0;47;10.47970479704797;162.89699954300838;12.76311088814198;542;281;48.1549815498155;"201708161900_201708162000";"2017-08-07 20:52:00"
33636;0;51;10.284552845528456;116.19992383223219;10.779606849613403;492;345;29.87804878048781;"201708161900_201708162000";"2017-08-07 20:52:00"
33637;0;38;3.1954545454545453;60.87943129929429;7.802527237971956;220;56;74.54545454545455;"201708161900_201708162000";"2017-08-07 20:52:00"
33638;0;47;13.316091954022989;162.6798551591255;12.75460133281811;174;124;28.735632183908045;"201708161900_201708162000";"2017-08-07 20:52:00"
33639;0;58;14.62589928057554;202.74763005480102;14.23894764562329;278;198;28.776978417266186;"201708161900_201708162000";"2017-08-07 20:52:00"
33640;0;53;17.40087145969499;256.406636793485;16.01270235761238;459;346;24.618736383442265;"201708161900_201708162000";"2017-08-07 20:52:00"
33642;0;39;10.699346405228757;129.6195390436877;11.385057709282272;153;98;35.94771241830066;"201708161900_201708162000";"2017-08-07 20:52:00"
33643;0;47;9.111524163568774;133.8009487876602;11.56723600466681;269;155;42.37918215613383;"201708161900_201708162000";"2017-08-07 20:52:00"
33645;0;47;7.743169398907104;135.81829099861892;11.654110476506515;183;83;54.64480874316939;"201708161900_201708162000";"2017-08-07 20:52:00"
33646;0;44;6.563876651982379;99.716034462594;9.985791629239717;227;100;55.947136563876654;"201708161900_201708162000";"2017-08-07 20:52:00"
33648;0;40;8.831932773109244;126.98846318188293;11.268915794426851;119;66;44.53781512605042;"201708161900_201708162000";"2017-08-07 20:52:00"
33652;0;52;15.936305732484076;221.48309652131306;14.882308171829834;157;127;19.108280254777064;"201708161900_201708162000";"2017-08-07 20:52:00"
33653;0;53;18.231304347826086;224.58926223299522;14.986302487037795;575;464;19.304347826086953;"201708161900_201708162000";"2017-08-07 20:52:00"
33656;0;52;15.640625;210.78435052219314;14.518414187582373;384;293;23.697916666666664;"201708161900_201708162000";"2017-08-07 20:52:00"
33657;0;59;16.639744952178532;223.7945463178603;14.95976424673398;941;743;21.041445270988312;"201708161900_201708162000";"2017-08-07 20:52:00"
33667;0;55;17.164588528678305;234.09284289276778;15.300092904710343;401;294;26.683291770573568;"201708161900_201708162000";"2017-08-07 20:52:00"
33668;0;52;12.336996336996338;214.04778065072182;14.630371856201121;273;172;36.996336996337;"201708161900_201708162000";"2017-08-07 20:52:00"
33670;0;46;10.767441860465116;156.3549571603427;12.504197581626048;172;106;38.372093023255815;"201708161900_201708162000";"2017-08-07 20:52:00"
33671;0;46;16.675324675324674;169.1168831168831;13.004494727473386;77;63;18.181818181818176;"201708161900_201708162000";"2017-08-07 20:52:00"
33672;0;41;16.408450704225352;177.50221327967802;13.322995657121487;71;56;21.126760563380287;"201708161900_201708162000";"2017-08-07 20:52:00"
33675;0;56;16.17948717948718;235.45888594164452;15.344669626344013;117;81;30.76923076923077;"201708161900_201708162000";"2017-08-07 20:52:00"
33680;0;65;19.13783783783784;198.91590859151836;14.103755123778857;370;303;18.108108108108112;"201708161900_201708162000";"2017-08-07 20:52:00"
33682;0;51;14.451162790697675;212.93101499673983;14.592155940666885;215;155;27.906976744186053;"201708161900_201708162000";"2017-08-07 20:52:00"
33686;0;46;14.097560975609756;180.7266197815352;13.443460111947935;164;122;25.609756097560975;"201708161900_201708162000";"2017-08-07 20:52:00"
33695;0;46;17.425101214574898;130.8876600506895;11.44061449620122;247;211;14.574898785425106;"201708161900_201708162000";"2017-08-07 20:52:00"
33698;0;56;16.292035398230087;179.53002528445015;13.398881493783358;113;89;21.238938053097346;"201708161900_201708162000";"2017-08-07 20:52:00"
33699;0;56;13.110344827586207;193.10300333704112;13.896150666175188;435;293;32.64367816091954;"201708161900_201708162000";"2017-08-07 20:52:00"
33702;0;52;8.816067653276956;181.03601246998966;13.454962373414117;473;220;53.48837209302326;"201708161900_201708162000";"2017-08-07 20:52:00"
33705;0;49;13.269035532994923;154.0650056977106;12.412292523853544;197;148;24.873096446700504;"201708161900_201708162000";"2017-08-07 20:52:00"
33708;0;51;17.486301369863014;178.15498346717047;13.347471051370386;146;109;25.34246575342466;"201708161900_201708162000";"2017-08-07 20:52:00"
33711;0;49;13.290076335877863;164.1654300578598;12.812705805483079;786;524;33.333333333333336;"201708161900_201708162000";"2017-08-07 20:52:00"
33726;0;48;16.070422535211268;167.6971331535311;12.949792784192768;142;106;25.352112676056336;"201708161900_201708162000";"2017-08-07 20:52:00"
33728;0;53;10.641434262948207;142.15891633466134;11.923041404552;251;157;37.45019920318725;"201708161900_201708162000";"2017-08-07 20:52:00"
33731;0;51;9.778242677824268;174.03044899968359;13.19206007413867;239;115;51.88284518828452;"201708161900_201708162000";"2017-08-07 20:52:00"
33735;0;60;18.41747572815534;266.9514563106796;16.338649158075448;103;80;22.330097087378643;"201708161900_201708162000";"2017-08-07 20:52:00"
33736;0;42;10.875;183.52848101265818;13.547268396715928;80;49;38.74999999999999;"201708161900_201708162000";"2017-08-07 20:52:00"
33741;0;60;15.943283582089553;231.41294128161587;15.212262858681344;335;250;25.373134328358205;"201708161900_201708162000";"2017-08-07 20:52:00"
33743;0;53;10.523255813953488;143.6146179401993;11.983931656188602;344;206;40.116279069767444;"201708161900_201708162000";"2017-08-07 20:52:00"
33758;0;45;9.666666666666666;171.21345951629857;13.084856113702534;318;146;54.088050314465406;"201708161900_201708162000";"2017-08-07 20:52:00"
33761;0;47;10.569160997732427;164.8912286126573;12.840997960153148;441;253;42.63038548752834;"201708161900_201708162000";"2017-08-07 20:52:00"
33763;0;51;14.018518518518519;200.61303868924674;14.163793230955003;270;189;30.000000000000004;"201708161900_201708162000";"2017-08-07 20:52:00"
33777;0;44;15.178294573643411;198.72577519379846;14.097012988353187;129;91;29.457364341085267;"201708161900_201708162000";"2017-08-07 20:52:00"
33781;0;44;13.563186813186814;146.9078421578419;12.120554531779556;364;259;28.846153846153843;"201708161900_201708162000";"2017-08-07 20:52:00"
33783;0;56;5.474916387959866;117.17638212385809;10.824804022422674;299;99;66.88963210702342;"201708161900_201708162000";"2017-08-07 20:52:00"
33784;0;44;14.282732447817837;154.95983434462957;12.448286401936194;527;404;23.33965844402277;"201708161900_201708162000";"2017-08-07 20:52:00"
33787;0;49;9.708433734939758;150.9220301495838;12.285032769577125;415;200;51.80722891566265;"201708161900_201708162000";"2017-08-07 20:52:00"
33788;0;56;13.721649484536082;218.7446305841925;14.790017937250532;97;59;39.175257731958766;"201708161900_201708162000";"2017-08-07 20:52:00"
33790;0;29;2.643410852713178;40.30935077519377;6.348964543545173;129;32;75.1937984496124;"201708161900_201708162000";"2017-08-07 20:52:00"
33793;0;48;9.050746268656717;131.37166860309225;11.461748060531267;335;187;44.17910447761194;"201708161900_201708162000";"2017-08-07 20:52:00"
33794;0;51;12.528112449799197;160.4227493474906;12.665810252308795;498;338;32.1285140562249;"201708161900_201708162000";"2017-08-07 20:52:00"
33795;0;57;14.674418604651162;284.33066860465124;16.862107478149085;129;74;42.63565891472868;"201708161900_201708162000";"2017-08-07 20:52:00"
33796;0;46;13.471830985915492;169.32898811307555;13.01264723694128;142;93;34.50704225352113;"201708161900_201708162000";"2017-08-07 20:52:00"
33802;0;54;12.34387351778656;162.68683731727205;12.754875041225299;253;173;31.62055335968379;"201708161900_201708162000";"2017-08-07 20:52:00"
33803;0;32;6.463519313304721;83.28422376794448;9.126019053669813;233;100;57.08154506437768;"201708161900_201708162000";"2017-08-07 20:52:00"
33804;0;56;12.072687224669604;138.08079761939496;11.750778596305649;454;309;31.93832599118943;"201708161900_201708162000";"2017-08-07 20:52:00"
33805;0;52;12.857142857142858;146.3508403361344;12.097555138792897;273;189;30.76923076923077;"201708161900_201708162000";"2017-08-07 20:52:00"
33807;0;62;21.44078947368421;294.1554112931337;17.150959486079305;152;123;19.07894736842105;"201708161900_201708162000";"2017-08-07 20:52:00"
33810;0;55;19.458015267175572;245.23769413003416;15.660066862246603;262;201;23.282442748091604;"201708161900_201708162000";"2017-08-07 20:52:00"
33811;0;46;8.788546255506608;183.71615141709867;13.554193130433795;227;97;57.268722466960355;"201708161900_201708162000";"2017-08-07 20:52:00"
33819;0;56;15.133603238866396;245.42516704519267;15.666051418439576;247;181;26.72064777327935;"201708161900_201708162000";"2017-08-07 20:52:00"
33822;0;46;14.70503597122302;148.8192109136899;12.199147958512917;695;545;21.58273381294964;"201708161900_201708162000";"2017-08-07 20:52:00"
33827;0;60;18.208029197080293;228.6268950028074;15.120413188891613;274;218;20.43795620437956;"201708161900_201708162000";"2017-08-07 20:52:00"
33831;0;53;13.381188118811881;252.58531599428596;15.892932894663778;202;118;41.584158415841586;"201708161900_201708162000";"2017-08-07 20:52:00"
33835;0;60;9.362869198312236;232.26607308875057;15.24027798594076;237;86;63.71308016877637;"201708161900_201708162000";"2017-08-07 20:52:00"
33837;0;50;7.423497267759563;111.58728198218432;10.56348815411767;366;164;55.19125683060109;"201708161900_201708162000";"2017-08-07 20:52:00"
33846;0;51;11.547826086956523;154.10889787664308;12.41406049109811;345;220;36.23188405797102;"201708161900_201708162000";"2017-08-07 20:52:00"
33847;0;41;8.399361022364218;136.97782010321944;11.703752394134945;313;169;46.00638977635783;"201708161900_201708162000";"2017-08-07 20:52:00"
33848;0;64;16.038265306122447;180.72743227725886;13.443490330909562;392;304;22.44897959183674;"201708161900_201708162000";"2017-08-07 20:52:00"
33852;0;49;10.284518828451883;202.33887697338338;14.224587058097095;239;120;49.7907949790795;"201708161900_201708162000";"2017-08-07 20:52:00"
33859;0;56;15.700305810397554;199.13076677735864;14.111370124029722;327;240;26.60550458715596;"201708161900_201708162000";"2017-08-07 20:52:00"
33863;0;58;15.983333333333333;172.77796373779637;13.144503175768811;240;192;19.999999999999996;"201708161900_201708162000";"2017-08-07 20:52:00"
33865;0;50;6.568232662192393;114.77504238520874;10.713311457491038;447;217;51.45413870246085;"201708161900_201708162000";"2017-08-07 20:52:00"
33866;0;38;7.730538922155689;133.24623043070494;11.543233101289472;167;74;55.68862275449102;"201708161900_201708162000";"2017-08-07 20:52:00"
33867;0;51;10.918439716312056;170.27042313845536;13.04877094359677;564;348;38.297872340425535;"201708161900_201708162000";"2017-08-07 20:52:00"
33868;0;43;12.915492957746478;135.7003720435823;11.649050263587254;213;169;20.657276995305164;"201708161900_201708162000";"2017-08-07 20:52:00"
33869;0;46;11.865435356200528;164.1220560930323;12.811013078325708;379;257;32.189973614775724;"201708161900_201708162000";"2017-08-07 20:52:00"
33870;0;42;10.674496644295303;151.2640611935914;12.298945531775942;298;192;35.570469798657726;"201708161900_201708162000";"2017-08-07 20:52:00"
33873;0;50;15.957345971563981;173.7838862559242;13.182711642751054;211;162;23.222748815165872;"201708161900_201708162000";"2017-08-07 20:52:00"
33874;0;52;9.745341614906833;155.50970335816092;12.470352976486309;483;294;39.13043478260869;"201708161900_201708162000";"2017-08-07 20:52:00"
33876;0;48;13.004016064257028;173.23788703199898;13.161986439439868;249;180;27.710843373493976;"201708161900_201708162000";"2017-08-07 20:52:00"
33877;0;49;10.731225296442688;141.19098344617072;11.882381219527117;506;326;35.573122529644266;"201708161900_201708162000";"2017-08-07 20:52:00"
33878;0;50;19.90344827586207;230.25450191570872;15.174139247934583;145;124;14.482758620689651;"201708161900_201708162000";"2017-08-07 20:52:00"
33879;0;53;13.888283378746594;207.5366656243952;14.406132917073728;367;231;37.05722070844687;"201708161900_201708162000";"2017-08-07 20:52:00"
33882;0;47;14.382530120481928;186.0435609507516;13.639778625430532;332;241;27.409638554216865;"201708161900_201708162000";"2017-08-07 20:52:00"
33884;0;50;9.156351791530945;120.30227161440031;10.96823922124241;307;197;35.83061889250815;"201708161900_201708162000";"2017-08-07 20:52:00"
33885;0;41;12.362903225806452;139.5924644116496;11.814925493275426;248;173;30.241935483870964;"201708161900_201708162000";"2017-08-07 20:52:00"
33893;0;44;7.695390781563126;130.02349276866985;11.4027844305095;499;267;46.49298597194389;"201708161900_201708162000";"2017-08-07 20:52:00"
33896;0;54;10.744827586206897;170.50905619854424;13.05791163236083;290;157;45.862068965517246;"201708161900_201708162000";"2017-08-07 20:52:00"
33897;0;50;17.89578163771712;235.85975828055751;15.357726338249341;403;317;21.33995037220844;"201708161900_201708162000";"2017-08-07 20:52:00"
33904;0;47;8.287567567567567;121.70942318942319;11.032199381330233;925;475;48.64864864864865;"201708161900_201708162000";"2017-08-07 20:52:00"
33905;0;45;8.710144927536232;138.83790628957368;11.782949812741021;207;110;46.85990338164251;"201708161900_201708162000";"2017-08-07 20:52:00"
33906;0;46;9.617834394904458;148.42993630573244;12.183182519593657;157;83;47.13375796178344;"201708161900_201708162000";"2017-08-07 20:52:00"
33908;0;58;22.433766233766235;250.89208603896077;15.839573417202901;385;313;18.701298701298697;"201708161900_201708162000";"2017-08-07 20:52:00"
33910;0;53;17.113006396588485;210.97651850636936;14.525030757501664;469;350;25.373134328358205;"201708161900_201708162000";"2017-08-07 20:52:00"
33913;0;44;13.047169811320755;156.99775381850856;12.529874453421652;106;69;34.905660377358494;"201708161900_201708162000";"2017-08-07 20:52:00"
33914;0;54;17.52216748768473;211.9735160708189;14.559310288293842;203;163;19.704433497536943;"201708161900_201708162000";"2017-08-07 20:52:00"
33915;0;42;10.921097770154374;111.51610051104308;10.560118394745539;583;408;30.017152658662095;"201708161900_201708162000";"2017-08-07 20:52:00"
33916;0;53;6.7979094076655056;100.1618137959601;10.008087419480313;287;140;51.21951219512195;"201708161900_201708162000";"2017-08-07 20:52:00"
33919;0;41;13.013793103448275;123.44425287356317;11.110546920541903;145;112;22.758620689655174;"201708161900_201708162000";"2017-08-07 20:52:00"
33922;0;48;20.59344262295082;211.43285159620388;14.540730779304177;305;253;17.04918032786885;"201708161900_201708162000";"2017-08-07 20:52:00"
33924;0;61;11.651053864168619;163.47184747831255;12.785610954440642;427;271;36.53395784543325;"201708161900_201708162000";"2017-08-07 20:52:00"
33929;0;55;13.430025445292621;189.8069533156773;13.77704443324755;393;245;37.65903307888041;"201708161900_201708162000";"2017-08-07 20:52:00"
33933;0;57;17.919517102615693;210.84431589537212;14.520479189591923;497;370;25.553319919517104;"201708161900_201708162000";"2017-08-07 20:52:00"
33934;0;47;17.176656151419557;166.93071916303956;12.920167149191204;317;254;19.873817034700313;"201708161900_201708162000";"2017-08-07 20:52:00"
